,cpe,tt
0,PT0002000065183672TL,BTE
1,PT0002000065186295EC,BTE
2,PT0002000065197987WM,MT
3,PT0002000103704091XS,BTE
4,PT0002000103704103BG,BTE
5,PT0002000065177578BC,MT
6,PT0002000065177567BD,MT
7,PT0002000036784796EW,BTN
8,PT0002000036935492LW,BTN
9,PT0002000036953483LF,BTN
10,PT0002000037037187RZ,BTN
11,PT0002000037037702RT,BTN
12,PT0002000037044568TN,BTN
13,PT0002000037415333CV,BTN
14,PT0002000037674554KM,BTN
15,PT0002000038142611QN,BTN
16,PT0002000038965408WF,BTN
17,PT0002000039304719BE,BTN
18,PT0002000039318592VA,BTN
19,PT0002000039319961FS,BTN
20,PT0002000039611937YY,BTN
21,PT0002000039629027JF,BTN
22,PT0002000039629049ZY,BTN
23,PT0002000039795236VH,BTN
24,PT0002000040177991FF,BTN
25,PT0002000040411001HG,BTN
26,PT0002000040471428TX,BTN
27,PT0002000040471439TK,BTN
28,PT0002000040474827XM,BTN
29,PT0002000040480646XM,BTN
30,PT0002000040482847JK,BTN
31,PT0002000040486737ER,BTN
32,PT0002000040492933SX,BTN
33,PT0002000040493424JH,BTN
34,PT0002000040493492QV,BTN
35,PT0002000040493504VY,BTN
36,PT0002000040494291MB,BTN
37,PT0002000040495192KS,BTN
38,PT0002000040495374YJ,BTN
39,PT0002000040496058JF,BTN
40,PT0002000065167392YT,MT
41,PT0002000065169992GR,BTE
42,PT0002000065259617JH,BTN
43,PT0002000069403123FM,BTN
44,PT0002000070214754JN,BTN
45,PT0002000070713064JG,BTN
46,PT0002000072404093MG,BTN
47,PT0002000072979327ZP,BTN
48,PT0002000075172012JB,BTN
49,PT0002000075534274DT,BTN
50,PT0002000076549603QV,BTN
51,PT0002000076614005XL,BTE
52,PT0002000076614142QH,BTE
53,PT0002000076616797VM,BTE
54,PT0002000078847014SG,BTN
55,PT0002000080939494GJ,BTN
56,PT0002000081029394AY,BTN
57,PT0002000081656527ZK,BTN
58,PT0002000081840557NM,BTN
59,PT0002000082344229ST,BTN
60,PT0002000082531102CK,BTN
61,PT0002000083640674DG,BTN
62,PT0002000084621403FJ,BTN
63,PT0002000084621425PN,BTN
64,PT0002000084622918GX,BTN
65,PT0002000087010014SM,BTN
66,PT0002000087197064ML,BTN
67,PT0002000089196042TK,BTN
68,PT0002000101397073PN,BTN
69,PT0002000101642719QH,BTN
70,PT0002000107746877VE,BTN
71,PT0002000111039143FE,BTN
72,PT0002000113636435AQ,BTN
73,PT0002000115995336FZ,BTN
74,PT0002000115999636XJ,BTN
75,PT0002000116808177CN,BTN
76,PT0002000117260262BD,BTN
77,PT0002000117365639QT,BTE
78,PT0002000117494338EZ,BTN
79,PT0002000117822071BC,BTN
80,PT0002000118180808SA,BTE
81,PT0002000119091886KM,BTN
82,PT0002000119362939FA,BTE
