,cpe,tt
0,PT0002990040496025RV,
1,PT0002990065177922QQ,
2,PT0002000040276036SA,BTN
3,PT0002990065197704WH,
4,PT0002990040484491YY,
5,PT0002000065178765VB,MT
6,PT0002000037692966QV,BTN
7,PT0002000066400783HQ,MT
8,PT0002000073697991AZ,MT
9,PT0002000065164209MZ,MT
10,PT0002000065191431QG,MT
11,PT0002000065194704CB,MT
12,PT0002000120425695YK,MT
13,PT0002000066414622ED,MT
14,PT0002000116657701XW,MT
15,PT0002000066404252PN,MT
16,PT0002000085026959EX,MT
17,PT0002000106488971CD,MT
18,PT0002000069445572NL,MT
19,PT0002000065163593RL,MT
20,PT0002000065177066NZ,MT
21,PT0002000065192228GL,MT
22,PT0002000119387376BZ,MT
23,PT0002000065196426AP,MT
24,PT0002000037131924AZ,BTN
25,PT0002000039589985VL,BTN
26,PT0002000074205965DX,BTE
27,PT0002000104372911VH,BTE
28,PT0002000065186579NM,BTE
29,PT0002000072658922KQ,BTE
30,PT0002000075694026PV,BTE
31,PT0002000116451196RZ,BTN
32,PT0002000112530067QV,BTE
33,PT0002000037431464DW,BTN
34,PT0002000105407851GG,BTN
35,PT0002000037724216HX,BTN
36,PT0002000037829845BT,BTN
37,PT0002000037431453PZ,BTN
38,PT0002000039895106NE,BTN
39,PT0002000039430236HM,BTN
40,PT0002000040489123XH,BTN
41,PT0002000037692955QY,BTN
42,PT0002000037431442PA,BTN
43,PT0002000085553619NQ,BTN
44,PT0002000038972219EX,BTN
45,PT0002000037270684XS,BTN
46,PT0002000040489305HQ,BTN
47,PT0002000039334941ZE,BTN
48,PT0002000037462038GD,BTN
49,PT0002000037755601AT,BTN
50,PT0002000039550936ER,BTN
51,PT0002000116592865CA,BTN
52,PT0002000087702937NF,BTN
53,PT0002000071047605EX,BTN
54,PT0002000036866961YB,BTN
55,PT0002000112146242AQ,BTN
56,PT0002000040474202YR,BTN
57,PT0002000037270786SW,BTN
58,PT0002000037226432HS,BTN
59,PT0002000037755372QR,BTN
60,PT0002000040477394YL,BTN
61,PT0002000037473229FE,BTN
62,PT0002000040491699FH,BTN
63,PT0002000037679436AB,BTN
64,PT0002000037423854TM,BTN
65,PT0002000121090056GG,BTN
66,PT0002000039288963QK,BTN
67,PT0002000036901529ZX,BTN
68,PT0002000039068611GD,BTN
69,PT0002000077839613FA,BTN
70,PT0002000037451281LQ,BTN
71,PT0002000037755359SB,BTN
72,PT0002000037724329TP,BTN
73,PT0002000069444534JQ,BTE
74,PT0002000037423865TQ,BTN
75,PT0002000100048572MR,BTE
76,PT0002000037652194SR,BTN
77,PT0002000037724342TK,BTN
78,PT0002000087703463NG,BTN
79,PT0002000040462212JV,BTN
80,PT0002000109514287HC,BTE
81,PT0002000105847519FG,BTE
82,PT0002000065177922AL,BTE
83,PT0002000117665385FX,BTE
84,PT0002000065194203KQ,BTE
85,PT0002000075963139WF,BTE
86,PT0002000065195412MY,BTE
87,PT0002000073868981PE,BTE
88,PT0002000107079575FL,BTE
89,PT0002000070983831DS,BTE
90,PT0002000072152412XN,BTE
91,PT0002000065174443JJ,BTE
92,PT0002000071013244TB,BTN
93,PT0002000101993368JD,BTN
94,PT0002000067635405SK,BTN
95,PT0002000037397842LY,BTN
96,PT0002000037615675ZY,BTN
97,PT0002000038801607XN,BTN
98,PT0002000040481308QT,BTN
99,PT0002000040463168DF,BTN
100,PT0002000039275957AX,BTN
101,PT0002000038915703AM,BTN
102,PT0002000038915758MZ,BTN
103,PT0002000037641208CD,BTN
104,PT0002000040486646HW,BTN
105,PT0002000040489429RW,BTN
106,PT0002000037978439PZ,BTN
107,PT0002000038812321QP,BTN
108,PT0002000037652183ZJ,BTN
109,PT0002000038975538MV,BTN
110,PT0002000037829878NX,BTN
111,PT0002000036866766KT,BTN
112,PT0002000040491677YL,BTN
113,PT0002000105405023LM,BTN
