,cpe,tt
0,PT0002000065171113YH,BTE
1,PT0002000083774745LP,BTE
2,PT0002000070983625TQ,BTE
3,PT0002000065171102YF,BTE
4,PT0002000075406578TT,BTE
5,PT0002000065171135FV,BTE
6,PT0002000066087734TC,BTE
7,PT0002000065185678LR,MT
8,PT0002000103112789SC,MT
9,PT0002000065180535WX,MT
10,PT0002000065181879ZC,BTE
11,PT0002000065171124FY,BTE
12,PT0002000038740856ZG,BTE
13,PT0002000085043515YY,BTE
14,PT0002000124524796RQ,BTE
15,PT0002000065176041ZR,MT
16,PT0002000083200947AZ,MT
17,PT0002000065170303VJ,BTE
18,PT0002000074034645NV,BTE
19,PT0002000065170314HR,BTE
